Scale, N, Approximate Area, Relative Deviation
1.15, 63100, 0.954839, 0.0109285
1.15, 63600, 0.959867, 0.0162513
1.15, 64100, 0.946563, 0.00216551
1.15, 64600, 0.960732, 0.0171671
1.15, 65100, 0.960463, 0.0168825
1.15, 65600, 0.956278, 0.0124521
1.15, 66100, 0.962272, 0.0187977
1.15, 66600, 0.944623, 0.000111665
1.15, 67100, 0.983764, 0.0415517
1.15, 67600, 0.949859, 0.00565577
1.15, 68100, 0.961766, 0.0182615
1.15, 68600, 0.961503, 0.0179835
1.15, 69100, 0.940962, 0.00376358
1.15, 69600, 0.954893, 0.0109852
1.15, 70100, 0.943313, 0.00127479
1.15, 70600, 0.939911, 0.00487723
1.15, 71100, 0.945959, 0.00152692
1.15, 71600, 0.950487, 0.00632063
1.15, 72100, 0.939972, 0.00481171
1.15, 72600, 0.943771, 0.000790382
1.15, 73100, 0.957719, 0.0139768
1.15, 73600, 0.939682, 0.00511877
1.15, 74100, 0.93525, 0.00981108
1.15, 74600, 0.942598, 0.00203203
1.15, 75100, 0.940089, 0.00468852
1.15, 75600, 0.943906, 0.000647522
1.15, 76100, 0.943279, 0.00131052
1.15, 76600, 0.933094, 0.0120945
1.15, 77100, 0.944886, 0.000390821
1.15, 77600, 0.949402, 0.00517206
1.15, 78100, 0.932459, 0.0127669
1.15, 78600, 0.927836, 0.0176615
1.15, 79100, 0.947653, 0.00332025
1.15, 79600, 0.954623, 0.0106992
1.15, 80100, 0.96311, 0.0196855
1.15, 80600, 0.973886, 0.0310937
1.15, 81100, 0.935064, 0.0100086
1.15, 81600, 0.948873, 0.00461139
1.15, 82100, 0.950141, 0.00595451
1.15, 82600, 0.942989, 0.00161803
1.15, 83100, 0.914725, 0.0315417
1.15, 83600, 0.941091, 0.00362762
1.15, 84100, 0.949102, 0.00485459
1.15, 84600, 0.952156, 0.00808747
1.15, 85100, 0.948979, 0.00472391
1.15, 85600, 0.941483, 0.00321216
1.15, 86100, 0.956176, 0.0123434
1.15, 86600, 0.938332, 0.00654845
1.15, 87100, 0.935603, 0.00943818
1.15, 87600, 0.936133, 0.00887618
1.15, 88100, 0.949647, 0.00543131
1.15, 88600, 0.956623, 0.012817
1.15, 89100, 0.934804, 0.0102836
1.15, 89600, 0.947668, 0.00333638
1.15, 90100, 0.950829, 0.00668252
1.15, 90600, 0.961192, 0.0176546
1.15, 91100, 0.934041, 0.011092
1.15, 91600, 0.924029, 0.0216914
1.15, 92100, 0.95168, 0.00758379
1.15, 92600, 0.941543, 0.00314897
1.15, 93100, 0.954854, 0.0109442
1.15, 93600, 0.939314, 0.00550924
1.15, 94100, 0.934596, 0.0105041
1.15, 94600, 0.937947, 0.00695622
1.15, 95100, 0.928824, 0.0166147
1.15, 95600, 0.940644, 0.00410112
1.15, 96100, 0.926518, 0.0190567
1.15, 96600, 0.959523, 0.015887
1.15, 97100, 0.939354, 0.0054664
1.15, 97600, 0.929272, 0.0161404
1.15, 98100, 0.943409, 0.00117284
1.15, 98600, 0.937061, 0.00789462
1.15, 99100, 0.945956, 0.00152305
1.15, 99600, 0.947791, 0.00346574
1.3, 100, 0.985825, 0.0437339
1.3, 600, 1.04059, 0.101719
1.3, 1100, 0.941014, 0.00370857
1.3, 1600, 0.831789, 0.11935
1.3, 2100, 1.11101, 0.176272
1.3, 2600, 1.01742, 0.0771869
1.3, 3100, 0.991125, 0.0493454
1.3, 3600, 1.07254, 0.135544
1.3, 4100, 0.981817, 0.0394911
1.3, 4600, 0.892957, 0.0545889
1.3, 5100, 0.885953, 0.0620039
1.3, 5600, 0.912475, 0.0339249
1.3, 6100, 1.05586, 0.117879
1.3, 6600, 0.948483, 0.0041985
1.3, 7100, 0.914086, 0.0322186
1.3, 7600, 0.836654, 0.1142
1.3, 8100, 1.00611, 0.0652099
1.3, 8600, 0.962898, 0.019461
1.3, 9100, 0.953325, 0.00932507
1.3, 9600, 0.932768, 0.0124393
1.3, 10100, 0.886591, 0.0613284
1.3, 10600, 1.01683, 0.0765557
1.3, 11100, 0.950299, 0.00612185
1.3, 11600, 0.923502, 0.0222493
1.3, 12100, 0.961383, 0.0178562
1.3, 12600, 0.931057, 0.0142513
1.3, 13100, 0.956977, 0.013192
1.3, 13600, 0.89884, 0.0483603
1.3, 14100, 0.885611, 0.0623667
1.3, 14600, 1.01283, 0.0723293
1.3, 15100, 0.903128, 0.04382
1.3, 15600, 0.900513, 0.0465892
1.3, 16100, 0.955209, 0.0113198
1.3, 16600, 0.971968, 0.0290629
1.3, 17100, 0.933939, 0.0111995
1.3, 17600, 0.957818, 0.0140823
1.3, 18100, 0.923189, 0.0225807
1.3, 18600, 0.92399, 0.0217333
1.3, 19100, 0.959157, 0.0155002
1.3, 19600, 0.939719, 0.00508021
1.3, 20100, 0.950675, 0.00651949
1.3, 20600, 0.984229, 0.042045
1.3, 21100, 1.00218, 0.061047
1.3, 21600, 0.921168, 0.0247209
1.3, 22100, 0.933783, 0.0113652
1.3, 22600, 0.951655, 0.00755726
1.3, 23100, 0.902606, 0.0443735
1.3, 23600, 0.913419, 0.0329245
1.3, 24100, 0.948328, 0.00403446
1.3, 24600, 0.921038, 0.0248584
1.3, 25100, 0.953095, 0.00908136
1.3, 25600, 0.895971, 0.0513981
1.3, 26100, 0.967569, 0.0244055
1.3, 26600, 0.934557, 0.0105455
1.3, 27100, 0.954904, 0.0109968
1.3, 27600, 0.954273, 0.0103294
1.3, 28100, 0.911566, 0.0348866
1.3, 28600, 0.947334, 0.00298203
1.3, 29100, 0.952512, 0.00846452
1.3, 29600, 0.95363, 0.00964797
1.3, 30100, 0.943247, 0.00134433
